Финансовый университет при Правительстве Российской Федерации,62
Российская академия народного хозяйства и государственной службы при Президенте РФ,45
Московская государственная академия физической культуры,97
Российский государственный гуманитарный университет,83
Российский университет транспорта (МИИТ),91
Российский государственный социальный университет,76
Санкт-Петербургский государственный экономический университет,68
Российский государственный университет нефти и газа имени И. М. Губкина,26
Санкт-Петербургский государственный университет гражданской авиации,74
Российский экономический университет имени Г. В. Плеханова,62
Национальный исследовательский технологический университет «МИСиС»,7
Московский государственный университет имени М. В. Ломоносова,19
Российский государственный аграрный университет — МСХА имени К. А. Тимирязева,86
Санкт-Петербургский горный университет,9
Национальный исследовательский университет «Высшая школа экономики»,4
Северо-Западный государственный медицинский университет имени И. И. Мечникова Минздрава России,57
Тюменский индустриальный университет,81
Национальный исследовательский Московский государственный строительный университет,49
"Российский государственный университет физической культуры, спорта, молодежи и туризма",72
Московский государственный институт культуры,60
Самарский государственный технический университет,73
Санкт-Петербургский политехнический университет Петра Великого,5
Российский государственный педагогический университет им. А. И. Герцена,55
Ивановский государственный энергетический университет имени В. И. Ленина,73
Казанский (Приволжский) федеральный университет,12
Московский государственный технический университет имени Н. Э. Баумана,8
Московский автомобильно-дорожный государственный технический университет (МАДИ),68
Ленинградский государственный университет имени А. С. Пушкина,57
Российский университет дружбы народов,7
Государственный университет управления,59
Санкт-Петербургский государственный университет,3
Национальный исследовательский университет «МЭИ»,6
Московский государственный юридический университет имени О. Е. Кутафина,28
Алтайский государственный медицинский университет Минздрава России,4
Российский государственный университет туризма и сервиса,21
Московский авиационный институт (национальный исследовательский университет),23
Белгородский государственный технологический университет им. В. Г. Шухова,51
Новосибирский государственный медицинский университет Минздрава России,28
Воронежский государственный университет,54
Национальный исследовательский Томский политехнический университет,34
Московский технологический университет,27
Уфимский государственный нефтяной технический университет,35
Санкт-Петербургский государственный университет промышленных технологий и дизайна,36
Южный федеральный университет,7
Московский университет имени С. Ю. Витте,47
Курский государственный медицинский университет Минздрава России,37
Московский государственный университет технологий и управления имени К. Г. Разумовского (Первый казачий университет),37
Первый Московский государственный медицинский университет имени И. М. Сеченова Минздрава России,28
Казанский национальный исследовательский технологический университет,11
Уральский федеральный университет имени первого Президента России Б. Н. Ельцина,8
Российский новый университет,39
Санкт-Петербургский государственный университет аэрокосмического приборостроения,19
"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики",52
Саратовский государственный медицинский университет имени В. И. Разумовского Минздрава России,4
Петербургский государственный университет путей сообщения Императора Александра I,31
Московский городской педагогический университет,6
Санкт-Петербургский государственный институт культуры,19
Северный государственный медицинский университет Минздрава России,3
Южно-Уральский государственный университет (Национальный исследовательский университет),22
Белгородский государственный национальный исследовательский университет,25
Омский государственный технический университет,19
Московский государственный институт международных отношений (университет) МИД России,41
Национальный исследовательский Нижегородский государственный университет им. Н. И. Лобачевского,11
Приволжский исследовательский медицинский университет Минздрава России,40
Национальный исследовательский ядерный университет «МИФИ»,63
Казанский государственный медицинский университет Минздрава России,34
Новосибирский государственный технический университет,21
Оренбургский государственный медицинский университет Минздрава России,56
Томский государственный университет систем управления и радиоэлектроники,56
Московский государственный лингвистический университет,0
Московский технический университет связи и информатики,18
Сибирский государственный университет геосистем и технологий,18
Казанский национальный исследовательский технический университет им. А. Н. Туполева — КАИ,24
Российская академия музыки имени Гнесиных,36
Пермский национальный исследовательский политехнический университет,36
Российский государственный институт сценических искусств,33
Сибирский государственный медицинский университет Минздрава России,41
Астраханский государственный университет,21
Московский государственный технологический университет «СТАНКИН»,50
Российский химико-технологический университет имени Д. И. Менделеева,32
Воронежский государственный медицинский университет имени Н. Н. Бурденко Минздрава России,48
Санкт-Петербургский государственный электротехнический университет «ЛЭТИ им. В. И. Ульянова (Ленина)»,65
Тверской государственный медицинский университет Минздрава России,69
Московский политехнический университет,32
Национальный исследовательский университет «Московский институт электронной техники»,77
Самарский национальный исследовательский университет имени академика С. П. Королева,41
Российский институт театрального искусства — ГИТИС,23
Академия Русского балета имени А. Я. Вагановой,69
Национальный исследовательский Томский государственный университет,79
Нижегородская государственная консерватория им. М. И. Глинки,75
Российская экономическая школа,88
Новосибирский национальный исследовательский государственный университет,52
Московский физико-технический институт,88
Санкт-Петербургский государственный морской технический университет,53
Новосибирская государственная консерватория имени М. И. Глинки,70
Школа-студия (институт) имени Вл. И. Немировича-Данченко при Московском Художественном академическом театре им. А. П. Чехова,52
Всероссийский государственный институт кинематографии имени С. А. Герасимова,28
Театральный институт имени Бориса Щукина при Государственном академическом театре имени Евгения Вахтангова,82
Литературный институт имени А. М. Горького,34
Государственный институт русского языка им. А. С. Пушкина,93
